claim_id,claim_statement,claim_type,journey_stage,supporting_source_ids,counter_source_ids,confidence,status,notes
C-CLM-0401,"토스증권의 첫 매수 공식 경로는 '증권 탭→돋보기 검색→종목→구매하기'로, 화면 이동 기준 약 4단계이며 용어로 매수/매도 대신 구매/판매를 사용한다",F,매수,"C-SRC-0401;C-SRC-0405",,H,채택,"탭 수는 화면 이동 기준 추정. 금액 입력·확인 단계 포함 시 5~6탭으로 늘어남(실기기 확인 필요)"
C-CLM-0402,"카카오페이증권의 기본 주문 방식은 '간편 주문'으로, 수량만 입력하면 '최적가'로 구매/판매되며 호가창 기반 '호가 주문'은 선택 사항이다",F,매수/매도,"C-SRC-0404",,H,채택,"'최적가'는 사실상 시장가 성격. 쉬운 용어의 양면성 근거"
C-CLM-0403,"카카오페이증권은 1,000원 단위 해외주식 소수점 구매와 환전 없는 원화 주문으로 소액 첫 매수의 진입 절차를 최소화했다",F,매수,"C-SRC-0410;C-SRC-0424",,H,채택,"2022년 서비스 소개 기준. 현재 정책은 WS1 전수조사와 대조 필요"
C-CLM-0404,"토스증권 WTS 주문 패널은 지정가/시장가 선택, 보유금 대비 10/25/50/최대% 수량 버튼, 총 주문 금액, 주문 가능 금액을 단일 화면에 제공한다",F,매수,"C-SRC-0405",,H,채택,"2026-07-16 04:12 KST 비로그인 직접 관찰"
C-CLM-0405,"토스증권에서 매도 대금 출금은 국내·해외 모두 T+2 이후 가능하며, 해외는 오전 9시 달러 입금 후 환전 절차가 추가되고 '중간에 다른 주식 구매 시 환전 불가' 제약이 있다",F,매도후출금,"C-SRC-0402;C-SRC-0403",,H,채택,"과업 ③(+15% 매도·출금)의 핵심 마찰 지점"
C-CLM-0406,"토스증권은 결제일 전 매도 대금의 98%까지 '주식판매금 미리받기'를 제공하되 하루 0.02% 이자를 부과한다",F,매도후출금,"C-SRC-0422",,M,채택,"검색요약 경유 확인. 원문 재확인 권장"
C-CLM-0407,"Robinhood의 매수 기본값은 달러 금액 기반 주문이며, Review 화면 확인 후 '위로 스와이프' 제스처로만 주문이 제출된다",F,매수,"C-SRC-0406",,H,채택,"명시적 주문 확인 리추얼의 대표 사례"
C-CLM-0408,"Robinhood는 매수 안내에서 '마지막 체결가가 실제 체결가와 다를 수 있음'과 시간외 거래의 변동성·유동성 위험을 문구로 고지한다",F,매수(위험고지),"C-SRC-0406",,H,채택,
C-CLM-0409,"Robinhood 24시간 시장은 지정가·온주 주문만 허용하고 시장가를 차단하며, 유동성·스프레드 위험을 전용 고지문서와 인앱 FAQ로 이중 고지한다",F,시간외거래,"C-SRC-0407",,H,채택,"위험 시간대에 주문 유형 자체를 제한하는 보호 설계"
C-CLM-0410,"토스증권은 데이마켓 도입(2023-02-13)으로 미국주식을 한국시간 10:00~17:50 포함 총 21시간 50분 거래 가능하게 했고, 미체결 주문은 다음날 08시까지 유지 후 자동 취소된다",F,시장시간확인,"C-SRC-0408",,H,채택,"과업 ④ 관련. 서머타임 변동 유의"
C-CLM-0411,"Betterment는 출금 전 'Tax Impact Preview'로 세금 영향을 미리 보여주고, 손실 포지션 우선 매도(TaxMin), '매도 후 취소 불가'·'시장 변동으로 출금액 변동 가능' 경고를 제공한다",F,매도후출금,"C-SRC-0409",,H,채택,"과업 ③에서 세금·비가역성 안내의 모범 패턴"
C-CLM-0412,"카카오페이증권은 투자성향 등급과 상품 위험등급이 맞지 않으면 구매를 제한하는 적합성 확인 장치를 운영한다",F,매수(적합성),"C-SRC-0404",,M,채택,"FAQ 항목 제목으로 존재 확인. 세부 동작은 실기기 확인 필요"
C-CLM-0413,"토스증권은 종목 화면에 커뮤니티(감정적 게시물 포함)와 고변동(±24~88%) 관심종목 TOP10 피드를 기본 노출해 초보자의 감정 자극·추격 매매를 유발할 수 있다",I,보유모니터링,"C-SRC-0405",,M,채택,"직접 관찰 사실 + 영향은 해석. 커뮤니티 게시물 예: '내일 오르나요?????ㅜㅜㅠㅠ'"
C-CLM-0414,"토스증권은 '토스증권 AI'로 종목별 등락 원인을 한 줄 요약해 제공한다(예: '애플 중국 등록 승인으로 3.9% 상승')",F,보유모니터링,"C-SRC-0405",,H,채택,"과업 ②(급락 원인 파악)의 직접 대응 기능"
C-CLM-0415,"토스증권 WTS에서 헤더 현재가(273,500원 +3.99%)와 시세 테이블 최근 체결가(279,500원 +6.27%)가 동시에 다르게 표시되어, 기준시각·거래소(KRX/대체거래소) 구분이 초보자에게 불명확할 수 있다",I,보유모니터링(기준시각),"C-SRC-0405",,L,쟁점,"장 마감 후 새벽 열람 특성 또는 NXT 병기 가능성. 원인 미확인이므로 실기기 재현 필요"
C-CLM-0416,"Robinhood는 콘페티 등 게임화 요소로 매사추세츠 규제당국의 지적을 받아 2021년 해당 기능을 제거하고 약 750만 달러에 합의했다",F,전반(게임화),"C-SRC-0411;C-SRC-0412",,H,채택,"게임화의 규제 리스크 선례"
C-CLM-0417,"토스증권의 계좌개설 랜덤 주식 1주 지급 이벤트는 뽑기형 보상 구조로 약 170만 명의 초보 투자자 유입을 유도했다",F,유입(게임화),"C-SRC-0413",,M,채택,"국내 게임화 사례. 감정 자극·사행성 논점"
C-CLM-0418,"토스증권은 52주 최고가 알림 오발송, AI 뉴스 동일 티커 오노출(PMAX) 등 자동화 정보 제공의 오류 사례가 반복 보도되어, 출처·기준시각 없는 자동 알림이 오히려 오판을 유발할 수 있음을 보여준다",F,보유모니터링(정보신뢰),"C-SRC-0414;C-SRC-0423",,M,채택,"AI 정보 제공 기능 설계 시 출처·기준시각 표기의 필요성 근거"
C-CLM-0419,"미래에셋 M-STOCK은 통합증거금으로 원화 예수금만으로 해외주식을 주문하고 결제일에 부족분만 자동환전한다",F,매수(환전),"C-SRC-0415",,M,채택,"전통 증권사도 환전 마찰 제거 중. M-STOCK 화면 단위 매수 흐름은 공개자료로 미확인"
C-CLM-0420,"핀트는 AI 일임형이라 개별 종목 매수·매도 판단 과업 자체가 사용자에게 없으며, 월 3만원부터 시작 가능하고 수수료는 투자수익의 연 9.5%(수익 시에만)이다",F,전반(일임),"C-SRC-0416",,M,채택,"과업 ①·②·③이 '진단→입금→위임' 구조로 치환됨"
C-CLM-0421,"핀트의 출금·계약해지 진입점은 설정 화면 하단에 작은 글씨로 배치되어 발견이 어렵고 해지에 최대 4영업일이 걸린다는 사용기가 있다",I,매도후출금,"C-SRC-0417",,L,채택,"개인 사용기 1건 근거. 다크패턴 가능성은 추가 검증 필요"
C-CLM-0422,"에임(AIM)은 최소 자문계약 금액(약 500만원)으로 인해 '1만원 첫 매수' 과업 자체가 불가능한 고액 진입장벽형 서비스다",I,진입장벽,"C-SRC-0418;C-SRC-0419",,L,채택,"최소금액 수치는 블로그 근거로 저신뢰. 공식 확인 필요"
C-CLM-0423,"Magnifi는 자연어 대화로 종목 탐색과 연결 포트폴리오의 리스크·수수료 진단을 제공하는 대화형 투자 보조 서비스다",F,종목탐색,"C-SRC-0420",,M,채택,"본선 데모(대화형 의사결정 보조)와 가장 유사한 해외 레퍼런스"
C-CLM-0424,"환전 시점(주간 수동 vs 야간 자동)에 따라 우대율 차이로 실질 환전 수수료가 약 5배 차이 날 수 있어, 초보자가 자동 주문 시 인지 없이 더 높은 비용을 낼 수 있다",H,매수(환전비용),"C-SRC-0421",,L,쟁점,"커뮤니티 게시물 단일 근거. 공식 수수료 안내로 검증 전까지 가설"
