claim_id,claim_statement,claim_type,journey_stage,supporting_source_ids,counter_source_ids,confidence,status,notes
C-CLM-0500,"자본시장법상 '투자권유'는 특정 투자자를 상대로 금융투자상품의 매매 또는 자문·일임·신탁계약 체결을 권유하는 것이다(제9조 제4항)",F,공통,C-SRC-0501,,H,채택,법령 원문 직접 확인
C-CLM-0501,"개별 종목의 취득·처분·방법·수량·가격·시기 등 투자판단에 관한 자문을 영업으로 하면 투자자문업이며(자본시장법 제6조 제7항), 투자판단을 일임받아 운용하면 투자일임업이다(제6조 제8항)",F,공통,C-SRC-0502,,H,채택,법령 원문 직접 확인
C-CLM-0502,"개별 투자자를 상정하지 않고 다수인을 대상으로 일방적으로 이루어지는 '개별성 없는 조언'은 투자자문업으로 보지 않는다(자본시장법 제7조 제3항). 다만 유료 온라인 쌍방향 의견 교환은 예외다",F,공통,C-SRC-0503,,H,채택,2024-02-13 개정으로 정의 명문화
C-CLM-0503,"금소법상 투자성 상품의 계약 체결을 권유하면 적합성원칙(제17조: 정보 파악·확인, 부적합 권유 금지)과 설명의무(제19조)가 적용되고, 권유 없이 판매하는 경우에도 적정성원칙(제18조)이 적용될 수 있다",F,공통,"C-SRC-0505,C-SRC-0506,C-SRC-0507",,H,채택,적용 대상 상품의 세부 범위(시행령)는 미확인 한계
C-CLM-0504,"불확실한 사항에 대해 단정적 판단을 제공하거나 확실하다고 오인하게 할 소지가 있는 내용을 알리는 행위는 부당권유행위로 금지된다(금소법 제21조 제1호)",F,공통,C-SRC-0508,,H,채택,AI 응답의 단정 표현 가드 설계의 직접 근거
C-CLM-0505,"자동화 장치로 투자자문·일임을 수행하는 로보어드바이저는 투자성향 분석·침해사고 예방 체계 등 전자적 투자조언장치 요건(자본시장법 시행령 제2조 제6호)을 갖춰야 하며, 코스콤 로보어드바이저 테스트베드가 분산투자·투자자 성향 분석·해킹 방지 체계를 심사한다",F,공통,"C-SRC-0504,C-SRC-0513",,H,채택,테스트베드 포털(ratb.koscom.co.kr)은 접근 실패로 코스콤 뉴스로 확인(C-SRC-0514)
C-CLM-0506,"금융위 금융분야 인공지능 가이드라인(개정, 2026-06-22 시행)은 7대 원칙(거버넌스·합법성·보조수단성·신뢰성·금융안정성·신의성실·보안성)을 제시하며, AI는 업무의 보조수단으로서 최종 의사결정과 책임은 임직원이 수행하고 금융소비자 이익을 최우선으로 해야 한다고 명시한다",F,공통,C-SRC-0500,,H,채택,자율규제 성격이므로 법상 규제를 대체하지 않음
C-CLM-0507,"계획서가 검증을 지시한 금융위 게시물 링크(https://www.fsc.go.kr/no010101/87142)는 2026-07-16 현재 유효하며, 2026-06-18자 AI 가이드라인 개정 보도자료와 가이드라인 전문 PDF 첨부를 제공한다",F,공통,C-SRC-0500,,H,채택,링크 검증 과업(WS0 지정) 완료. 재검색 불필요
C-CLM-0508,"AI를 포함한 완전 자동화 결정이 정보주체의 권리·의무에 중대한 영향을 미치는 경우 거부권·설명요구권이 보장되며(개인정보 보호법 제37조의2), 금융 자동화평가에는 설명·이의제기권(신용정보법 제36조의2)이 있다. 개인화 추천 기능은 설명가능성·인적 개입 경로를 갖춰야 한다",F,공통,"C-SRC-0509,C-SRC-0510",,H,채택,신용정보법 조항은 개인신용평가 중심으로 증권 추천에는 유추 적용(해석 요소 포함)
C-CLM-0509,"금소법 제19조는 '일반금융소비자가 이해할 수 있도록' 설명할 의무를, 장차법 제21조는 전자정보·모바일 앱의 동등한 접근(스크린리더 등 정당한 편의)을 요구하므로, 쉬운 한국어·색상 외 손익 표현·대체텍스트는 규범적 근거가 있는 요구사항이다",I,공통,"C-SRC-0507,C-SRC-0512",,M,채택,KWCAG 표준 원문은 미확인(한계 기록)
C-CLM-0510,"'투자 권유가 아닙니다' 면책 문구만으로는 특정 투자자 대상 방향 제시의 실질(투자권유·부당권유 소지)이 제거되지 않으므로, 위험 기능은 면책 문구가 아니라 기능 설계(결론 비제시·대체 UX)로 통제해야 한다",I,공통,"C-SRC-0501,C-SRC-0508",,M,채택,계획서 5장 기록 규칙과 정합. 판례·감독 사례 보강은 후속 과업
C-CLM-0511,"'출처 있는 정보·근거 제공 + 판단은 사용자' 구조는 투자권유(제9조 제4항)·투자자문업(제6조 제7항) 어느 쪽에도 해당하지 않아 규제상 상대적으로 안전하나, AI가 특정 사용자에게 매수/매도/보류 중 하나의 방향 결론을 제시하는 순간 권유·자문 경계에 진입한다",I,공통,"C-SRC-0501,C-SRC-0502,C-SRC-0503,C-SRC-0500",,M,채택,핵심 제품 경계 판정. WS9 교차검증 요망
C-CLM-0512,"전자금융거래에는 오류 정정·통지 의무(전자금융거래법 제8조)와 안전성 확보 의무(제21조)가 있으므로, 주문 흐름에는 사전 확인 단계(주문 미리보기·이상 금액 경고) 등 오주문 방지 UX가 필요하다",I,주문,C-SRC-0511,,M,채택,조항은 F. 사전 예방 UX 연결은 해석. 표시본이 시행예정본인 점 한계
C-CLM-0513,"해커톤 데모 가능 범위는 종목 정보 설명·시나리오 분석·모의 주문·주문 미리보기까지이며, 개인화 종목 추천·권유형 종목 순위·실주문 실행은 제외하거나 사실 기술형 라벨·교육용 비개인화 콘텐츠 등 안전한 대체 UX로 전환해야 한다",D,공통,"C-SRC-0500,C-SRC-0501,C-SRC-0502,C-SRC-0503,C-SRC-0504,C-SRC-0505,C-SRC-0508",,M,채택,규제 매트릭스 종합 판정(제품 결정). 본선 당일 공지가 우선
