claim_id,claim_statement,claim_type(F/I/H/D),journey_stage,supporting_source_ids,counter_source_ids,confidence(H/M/L),status(채택/기각/쟁점),notes
C-CLM-0300,"카카오페이증권과 토스증권은 별도 증권 전용 소비자 앱 없이 각각 카카오페이·토스 슈퍼앱 내 탭으로 제공되며, 따라서 앱 리뷰 VOC는 슈퍼앱 리뷰에서 증권 관련 리뷰를 필터링해야 수집 가능하다",F,전반,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303;C-SRC-0304,,H,채택,"리뷰 자체에도 '증권 앱 분리 요망' 요구 다수(WS3-KA-164, WS3-KA-167, WS3-TO-022 등)"
C-CLM-0301,"수집 표본(카카오페이 81건) 내 최다 테마는 주문·체결 UX 문제(C2)와 정보 부족·표시 미흡(C4) 각 18건, 이어 용어·구조 이해 어려움(C6) 15건, 앱 안정성·장애(C1) 14건이다(복수 태그)",F,전반,C-SRC-0300;C-SRC-0301,,H,채택,표본 내 빈도이며 전체 고객 분포로 일반화 불가(C-CLM-0308)
C-CLM-0302,"카카오페이 리뷰에는 앱 장애·렉으로 '매도 시점을 놓쳐 손해를 봤다'는 호소가 2022년부터 2026년까지 반복 등장하며, 특히 연휴 직후·트래픽 집중 시점(2025-10, 2026-01~03)에 집중된다",F,보유중·매도,C-SRC-0300;C-SRC-0301,,H,채택,"WS3-KA-059·060·066·067·121 등. 장애 발생 자체는 리뷰 주장으로, 회사 공식 장애공지와 교차 확인 필요(WS1 과제)"
C-CLM-0303,"초보 이용자는 미수거래 자동 발생(토스), 원화+달러 합산·미수 기본 설정(카카오페이), 소수점 주문의 10분 단위 체결, 자동 환전 등 위험·비용이 '사전 고지 없이' 발생했다고 인식한다 — 위험 고지 UX 공백",I,매수·보유중,C-SRC-0300;C-SRC-0301;C-SRC-0302;C-SRC-0303,,M,채택,"WS3-TO-001·012·066, WS3-KA-005·033·149. 실제 고지 존재 여부는 앱 화면 검증(WS4) 필요 — 인식 차원의 관찰"
C-CLM-0304,"'사는 것보다 파는 것이 어렵다'는 매도 판단의 막막함이 국내 지식iN 질문, 앱 리뷰, 해외 레딧 게시물에서 공통적으로 관찰된다",I,매도,C-SRC-0310;C-SRC-0330~0339;C-SRC-0300,,M,채택,국내: '언제 팔면 되나요' 질문 다수. 해외: panic sell 후회·손절 기준 질문. 정성적 수렴이며 빈도 일반화 불가
C-CLM-0305,"긍정 리뷰(표본의 약 23%)의 공통 요인은 '주식 입문이 쉽고 UI가 직관적'이라는 점으로, 카카오페이·토스 모두에서 동일하다",F,매수전·전반,C-SRC-0300~0303,,H,채택,"WS3-KA-127·132·134·152, WS3-TO-076·079·085 등"
C-CLM-0306,"리뷰 속 개선 요구는 '결론(추천) 대행'이 아니라 판단에 필요한 정보의 표시·설명(수익률 계산 기준, 환율·이중통화 표시, 세금·수수료, 시장 운영시간, 괴리율, 배당 정보)에 집중된다",I,전반,C-SRC-0300~0303,,M,채택,"WS3-KA-010·048·052·130·137·140, WS3-TO-026·073 등. 제품 방향(D) 판단의 근거로 활용 가능"
C-CLM-0307,급락·장애·첫 매도 등 고불안 순간에 정보·안내가 부족하면 초보 투자자의 판단 정체와 서비스 불신이 증폭된다,H,보유중·매도,C-SRC-0300~0303;C-SRC-0330~0339,,M,채택,초기 문제 가설과 정합. 리뷰는 정황 근거이며 인과 검증은 불가 — 본선 데모 가설로 유지
C-CLM-0308,"본 리뷰 표본은 불만 이용자의 자기선택 편향이 강한 비확률 표본으로, 테마 비율을 전체 고객 비율처럼 해석할 수 없다",F,전반,C-SRC-0300~0303,,H,채택,계획서 5장 검증 기준 준수를 위한 방법론적 한계 명시
C-CLM-0309,"국내 커뮤니티(지식iN)에서 초보 투자자의 질문은 매도 시점뿐 아니라 매도 후 처리(출금 시점, 환전, 세금)와 기초 용어·시장 시간에 집중된다",I,매도후·전반,C-SRC-0310~0329,,M,채택,정성 참고용. 지식iN 스니펫 한계 존재
C-CLM-0310,"토스 표본에는 '의도하지 않은 미수거래가 본인도 모르게 발생했다'는 리뷰가 존재하며, 이는 초보 보호 관점에서 위험 고지·기본값 설계 쟁점이다",F,매수,C-SRC-0303,,M,채택,"WS3-TO-001(앱스토어 2026-05-07, 2성). 단일 사례 수준 — 유사 사례 WS3-TO-066 보조"
C-CLM-0311,카카오페이의 잦은 증권 UI 개편이 기존 이용자(초보 포함)의 재학습 부담과 오주문 불안을 유발한다는 불만이 2022~2026년 반복된다,I,전반,C-SRC-0300;C-SRC-0301,,M,채택,WS3-KA-011~013·056·108·155·157 등
C-CLM-0312,"해외 커뮤니티에서도 초보의 패닉셀 후 후회, 손절 기준 부재, 매도 후 미련이 반복 관찰되어 처분효과 등 행동재무학 문헌(WS2)과 정합한다",I,매도,C-SRC-0330~0339,,M,채택,"WS2 원논문(Shefrin&Statman 1985, Odean 1998)과 연결하여 확신도 상향 가능"
