source_id,source_tier,source_type,organization_or_author,title,published_at,accessed_at_kst,url,local_evidence_path,locator,market,journey_stage,claim_ids,evidence_summary,fact_or_interpretation,reliability,limitations,status,rejection_reason
C-SRC-0401,A,공식FAQ,토스증권(비바리퍼블리카),"주식 구매나 판매는 어떻게 하나요? (FAQ 3317)",미상,2026-07-16 04:09,https://support.toss.im/faq/3317,.playwright-mcp/page-2026-07-15T19-08-51-087Z.yml,본문 전체(Playwright 렌더링),국내,매수/매도,"C-CLM-0401","공식 경로: 토스앱>아래 [증권]>오른쪽 위 [돋보기]>종목 검색>아래 [구매하기]/[판매하기]. WTS·유선주문(1599-7987)도 가능. 용어는 구매/판매 사용",F,H,"게시일 미표기. 앱 버전별 화면 차이 가능",확인,
C-SRC-0402,A,공식FAQ,토스증권(비바리퍼블리카),"주식을 판매하면 출금은 언제 가능한가요? (FAQ 3405)",미상,2026-07-16 04:09,https://support.toss.im/faq/3405,.playwright-mcp/page-2026-07-15T19-09-19-522Z.yml,본문 전체(Playwright 렌더링),국내+미국,매도후출금,"C-CLM-0405","국내·해외 모두 판매(T) 후 2영업일(T+2) 출금 가능. 국내 출금 경로: 증권>내 계좌보기>원화>보내기. 해외는 달러>원화로 환전 후 출금 또는 달러 송금",F,H,"게시일 미표기",확인,
C-SRC-0403,A,공식FAQ,토스증권(비바리퍼블리카),"해외주식 판매 후 출금은 언제 가능한가요? (FAQ 3563)",미상,2026-07-16 04:14,https://support.toss.im/faq/3563,없음(Playwright 렌더링 스냅샷 본문 전사),본문 전체,미국,매도후출금,"C-CLM-0405","판매일로부터 2영업일 뒤 오전 9시에 달러로 입금. 달러 출금 또는 원화 환전 후 출금. '중간에 다른 주식을 구매한 경우 환전이 불가능해요' 명시",F,H,"게시일 미표기",확인,
C-SRC-0404,A,공식FAQ,카카오페이 고객센터(카카오페이증권 제공),"도움말>주식>매매 (주식 구매/판매 방법 등)",미상,2026-07-16 04:11,https://support.kakaopay.com/web/faq-list/CUSTOMER_CENTER_FAQ_STOCK?qna=CUSTOMER_CENTER_FAQ_BARGAIN&device=m,.playwright-mcp/page-2026-07-15T19-09-51-322Z.yml,"매매 탭 1페이지, '주식 구매/판매 방법을 알려주세요' 펼침 본문",국내+미국,매수/매도,"C-CLM-0402;C-CLM-0403;C-CLM-0412","'종목 상세 화면에서 구매/판매 버튼을 누르고 주문 방법 선택'. 간편 주문(원하는 수량을 최적가로 구매/판매)과 호가 주문(호가창에서 원하는 호가로) 2종. FAQ 목록에 '투자성향 등급이 맞지 않다는데 구매할 수 없나요?' '수량만 지정해서 주문했는데 체결이 되었어요' 항목 존재",F,H,"개별 FAQ 딥링크 미제공(아코디언 UI). 목록 URL+항목명으로 기록",확인,
C-SRC-0405,A,웹서비스 직접관찰,토스증권 WTS(tossinvest.com),"삼성전자(A005930) 종목·주문 화면 직접 관찰",해당없음,2026-07-16 04:12,https://www.tossinvest.com/stocks/A005930/order,.playwright-mcp/page-2026-07-15T19-11-48-674Z.yml,"비로그인 상태 전체 화면(주문 패널, 시세, 커뮤니티, 하단 지표 바)",국내+미국,매수/보유모니터링,"C-CLM-0404;C-CLM-0413;C-CLM-0414;C-CLM-0415","주문 패널: 주문 유형(정규장 주문/예약)·구매 가격(지정가/시장가)·수량(10%/25%/50%/최대 버튼)·총 주문 금액·주문 가능 금액 표시. '지정가 알림 설정' 버튼. 탭: 차트·호가/종목정보/뉴스·공시/거래현황/커뮤니티. '토스증권 AI'가 종목별 등락 원인 한 줄 요약 제공. 하단에 달러 환율(1,489.1)·나스닥·S&P500 상시 표시. 관심 주식 TOP10에 ±24~88% 고변동 종목 노출. 커뮤니티에 감정적 게시물 노출. 헤더 현재가 273,500(+3.99%)과 시세 테이블 최근 체결 279,500(+6.27%)이 상이하게 표시됨을 관찰",F,H,"비로그인 상태라 호가·실제 주문 제출 화면은 미확인. 열람 시각(장 마감 후 새벽) 특성상 시세 표시가 실기기·장중과 다를 수 있음. 헤더-체결가 불일치는 KRX/대체거래소(NXT) 구분 등 원인 미확인",확인,
C-SRC-0406,A,공식 고객지원 문서,Robinhood,"How to buy a stock",미상,2026-07-16 04:07,https://robinhood.com/us/en/support/articles/buying-a-stock/,없음,본문 전체(WebFetch),미국,매수,"C-CLM-0407;C-CLM-0408","매수 5단계: 종목 상세→Trade>Buy→금액 입력(달러 기본, 주수 선택 가능)→Review(Edit 가능)→'Swipe up to submit'. 정규장 달러 주문은 시장가, 시간외는 지정가 자동 전환. '마지막 체결가가 실제 체결가와 다를 수 있다' 및 시간외 변동성 위험 고지",F,H,"게시일 미표기",확인,
C-SRC-0407,A,공식 고객지원 문서,Robinhood,"Robinhood 24 Hour Market",미상,2026-07-16 04:15,https://robinhood.com/us/en/support/articles/24hour-market/,없음,본문 전체(WebFetch),미국,매수/매도(시간외),"C-CLM-0409","일~금 오후 8시(ET)까지 24시간 거래. 온주·지정가 주문만 허용(시장가 불가). 낮은 유동성·높은 변동성·넓은 스프레드·ATS 가격밴드 위험을 전용 고지문서(PDF)와 인앱 FAQ로 고지",F,H,"게시일 미표기",확인,
C-SRC-0408,A,공식 블로그,토스(토스피드),"토스증권 13일부터 미국주식 거래시간 대폭 확대(데이마켓)",2023-02-13경,2026-07-16 04:13,https://toss.im/tossfeed/article/us-daymarket,없음,본문 전체(WebFetch),미국,시장시간확인,"C-CLM-0410","한국시간 기준 프리마켓 18:00~23:30, 정규장 23:30~06:00, 애프터마켓 06:00~08:00, 데이마켓 10:00~17:50으로 총 21시간 50분 거래. 미체결 주문은 다음날 08시까지 유지 후 자동 취소. 소수점 주문은 정규장만 실시간. 수수료 전 시간대 0.1% 동일",F,H,"서머타임에 따라 시간대 변동. 2023년 자료로 현재 정책 재확인 필요",확인,
C-SRC-0409,A,공식 헬프센터,Betterment,"How do I withdraw funds from my Betterment account?",미상,2026-07-16 04:13,https://www.betterment.com/help/withdraw-funds,없음,본문 전체(WebFetch),미국,매도후출금,"C-CLM-0411","앱: Move money>Withdraw. 출금 전 'Tax Impact Preview'로 세금 영향 추정 제공. TaxMin 알고리즘이 손실 포지션부터 매도해 세금 최소화. '시장 변동으로 출금액이 달라질 수 있음' '증권 매도 후에는 출금 취소 불가' 명시",F,H,"게시일 미표기. 세부 처리기한은 별도 Transaction Timeline 문서 참조 구조",확인,
C-SRC-0410,A,공식 보도자료,카카오,"카카오페이증권 주식거래서비스를 소개합니다",2022-04-27,2026-07-16 04:13,https://www.kakaocorp.com/page/detail/10417,없음,본문 전체(WebFetch),국내+미국,매수,"C-CLM-0403","'천원 한 장으로 주식 거래를 시작해보세요'. 해외 우량주 1주 미만 분할 구매, 환전 없이 원화 주문 가능. 연령대·소비성향 반영 맞춤 알림. 카카오톡 주식 선물하기 기능 소개",F,H,"2022년 출시 시점 자료로 현재 화면과 차이 가능",확인,
