claim_id,claim_statement,claim_type,journey_stage,supporting_source_ids,counter_source_ids,confidence,status,notes
C-CLM-0201,"국내 신규 개인투자자는 기존투자자 대비 투자성과가 유의하게 낮다(2020.3~10 기준 거래비용 차감 후 수익률 신규 -1.2% vs 기존 +15.0%, 손실 시현 비중 신규 60% vs 기존 36%).",F,전반,C-SRC-0201;C-SRC-0203,,H,채택,"A급 원천(KCMI 이슈보고서)+독립 보조(KCMI 연구보고서 22-02 심화 실증). 단 2020년 강세장 국면 표본"
C-CLM-0202,"개인투자자는 이익포지션을 손실포지션보다 약 2배 확률로 매도한다(처분효과). 국내(KCMI)와 미국(PGR 0.148 vs PLR 0.098) 자료에서 일관되게 확인된다.",F,매도,C-SRC-0203;C-SRC-0213;C-SRC-0202,,H,채택,"국내외 독립 표본에서 동일 방향 실증 — 확신도 상향 근거"
C-CLM-0203,"처분효과는 사후 성과 측면에서도 불리하다 — 매도한 승자가 계속 보유한 패자보다 이후 1년 초과수익이 평균 3.4%p 높다(즉 손실 종목 방치는 평균적으로 손해).",F,매도;보유,C-SRC-0213;C-SRC-0212,,H,채택,"Odean(1998) 저널 p.1784 원문 확인. Shefrin & Statman(1985)의 이론 예측과 부합"
C-CLM-0204,"과도한 거래는 수익률을 낮춘다 — 미국 최다거래 가구 연 11.4% vs 시장 17.9%(1991~96), 국내 신규투자자도 거래회전율이 높고 성과가 저조하다.",F,전반,C-SRC-0214;C-SRC-0201,,H,채택,"미·한 독립 표본 상호 보강"
C-CLM-0205,"행태적 편의(과잉확신·처분효과·복권형 선호·군집거래)는 신규투자자·저연령·소액투자자에게서 더 강하게 나타난다.",F,전반,C-SRC-0203;C-SRC-0201,,H,채택,"'초보'의 1차 구분축이 연령이 아닌 '투자경험(신규 여부)'임을 지지하는 핵심 근거"
C-CLM-0206,"손실 국면의 의사결정은 이득 국면과 비대칭적이다 — 참조점(매수가) 의존, 손실회피(손실이 이득보다 크게 체감), 손실 영역에서의 위험추구(반사효과).",F,보유;매도,C-SRC-0211;C-SRC-0212,,H,채택,"손실불안형·매도 막막형 세그먼트의 이론적 기반(원논문 확인)"
C-CLM-0207,"투자자는 과거 손실을 보고 매도했던 종목과 매도 후 가격이 오른 종목의 재매수를 회피한다(후회 회피에 의한 재진입 판단 왜곡).",F,재진입,C-SRC-0215,,M,채택,"A급 원논문(미국)은 확보했으나 국내 직접 실증 미확보 — 확신도 M"
C-CLM-0208,"개인투자자 저변이 사상 최대 수준으로 확대 — 주식거래활동계좌 1억877만좌(2026-06-24 기준, 2025년 말 9,828만좌 대비 +1,049만좌), 투자자예탁금 83조9,419억원(2025-12-12 기준).",F,전반,C-SRC-0207;C-SRC-0209;C-SRC-0210,,M,채택,"원천(FreeSIS)은 JS 렌더링 필요로 직접 조회 실패 — 협회 통계를 인용한 2차 보도로 잠정 확인. 본선 전 브라우저 자동화로 1차 검증 필요"
C-CLM-0209,"20대의 금융이해력은 취약하며 특히 금융행위 부문이 낮다(성인 전체 65.7점, 20대·70대·저소득·고졸 미만 취약 — 2024 조사).",F,탐색;매수,C-SRC-0204;C-SRC-0205,,H,채택,"한은·금감원 공동 공식조사 + 금융위 정책 인식(교육 강화방안) 보강"
C-CLM-0210,"신규 진입은 청년층이 주도하는 경향 — 2020년 신규계좌의 50% 이상이 2030세대, 2026년 상반기에도 2030 신규계좌·잔고가 급증.",F,탐색;매수,C-SRC-0206;C-SRC-0216,,M,채택,"두 근거의 기준시점이 상이(2020 vs 2026)하고 후자는 언론 2차 인용 — 규모 단정 금지, 경향 근거로만 사용"
